gene1	gene2	Ka	Ks	KaKs
SEN0109	SG0109	0.0014	0.0000	99.00000
SEN0110	SG0110	0.0009	0.0000	99.00000
SEN0111	SG0112	0.0020	0.0000	99.00000
SEN0112	SG0113	0.0010	0.0057	0.16884
SEN0113	SG0114	0.0014	0.0000	99.00000
SEN0114	SG0115	0.0000	0.0021	0.00100
SEN0115	SG0115A	0.0000	0.0000	0.35482
SEN0116	SG0116	0.0017	0.0030	0.55941
SEN0117	SG0117	0.0017	0.0000	99.00000
SEN0118	SG0118	0.0000	0.0000	0.11405
SEN0119	SG0119	0.0000	0.0000	0.08085
SEN0120	SG0120	0.0000	0.0000	99.00000
SEN0121	SG0121	0.0000	0.0000	0.16403
SEN0122	SG0122	0.0000	0.0135	0.00100
SEN0123	SG0123	0.0000	0.0045	0.00100
SEN0124	SG0124	0.0000	0.0000	0.41947
SEN0125	SG0125	0.0011	0.0000	99.00000
SEN0126	SG0126	0.0000	0.0041	0.00100
SEN0127	SG0127	0.0000	0.0000	99.00000
SEN0128	SG0128	0.0013	0.0000	99.00000
SEN0129	SG0129	0.0012	0.0000	99.00000
SEN0130	SG0130	0.0010	0.0000	99.00000
SEN0131	SG0131	0.0029	0.0000	99.00000
SEN0132	SG0132	0.0000	0.0000	0.12163
SEN0133	SG0133	0.0000	0.0000	99.00000
SEN0134	SG0134	0.0013	0.0000	99.00000
SEN0135	SG0135	0.0000	0.0000	0.00100
SEN0136	SG0136	0.0000	0.0000	0.00100
SEN0137	SG0137	0.0005	0.0050	0.09637
SEN0138	SG0138	0.0000	0.0000	0.00100
SEN0142	SG0140A	0.0000	0.0000	0.00100
SEN0143	SG0141	0.0000	0.0035	0.00100
SEN0144	SG0142	0.0000	0.0000	0.14393
SEN0145	SG0143	0.0015	0.0000	99.00000
SEN0146	SG0144	0.0011	0.0035	0.31248
SEN0147	SG0145	0.0012	0.0000	99.00000
SEN0148	SG0146	0.0000	0.0000	0.00100
SEN0149	SG0147	0.0000	0.0179	0.00100
SEN0150	SG0148	0.0000	0.0000	0.00100
SEN0151	SG0149	0.0000	0.0000	0.00100
SEN0154	SG0152	0.0019	0.0034	0.56374
SEN0155	SG0153	0.0000	0.0034	0.00100
SEN0156	SG0154	0.0000	0.0011	0.00100
SEN0157	SG0155	0.0008	0.0031	0.26405
SEN0158	SG0156	0.0010	0.0185	0.05271
SEN0161	SG0159	0.0093	0.0305	0.30412
SEN0162	SG0160	0.0022	0.0781	0.02776
SEN0165	SG0163	0.0000	0.0226	0.00100
SEN0170	SG0168	0.0016	0.0583	0.02747
SEN0171	SG0169	0.0000	0.0315	0.00100
SEN0172	SG0170	0.0001	0.0508	0.00100
SEN0173	SG0171	0.0035	0.0371	0.09405
SEN0175	SG0173	0.0024	0.0000	99.00000
SEN0176	SG0174	0.0000	0.0000	0.00100
SEN0177	SG0175	0.0000	0.0000	99.00000
SEN0178	SG0176	0.0001	0.0784	0.00100
SEN0184	SG0183	0.0055	0.0398	0.13897
SEN0185	SG0184	0.0000	0.0165	0.00100
SEN0460	SG0489	0.0000	0.0000	0.15564
SEN0186	SG0185	0.0000	0.0282	0.00100
SEN0187	SG0186	0.0001	0.0597	0.00100
SEN0322	SG0349	0.0017	0.0000	99.00000
SEN0188	SG0187	0.0032	0.0066	0.48072
SEN0189	SG0188	0.0000	0.0259	0.00100
SEN0190	SG0189	0.0032	0.0185	0.17122
SEN0191	SG0190	0.0035	0.0120	0.29124
SEN0192	SG0191	0.0042	0.0330	0.12686
SEN0193	SG0192	0.0053	0.0213	0.24940
SEN0194	SG0193	0.0024	0.0232	0.10376
SEN0195	SG0194	0.0011	0.0136	0.08189
SEN0196	SG0195	0.1440	1.2420	0.11593
SEN0197	SG0196	0.0017	0.0382	0.04576
SEN0198	SG0197	0.0060	0.0473	0.12777
SEN0199	SG0198	0.0056	0.0363	0.15479
SEN0207	SG0206	0.0033	0.0391	0.08314
SEN0208	SG0207	0.0030	0.0179	0.16643
SEN0209	SG0208	0.0001	0.0724	0.00100
SEN0210	SG0209	0.0000	0.0429	0.00100
SEN0211	SG0210	0.0018	0.0171	0.10685
SEN0212	SG0211	0.0000	0.0238	0.00100
SEN0213	SG0212	0.0021	0.0093	0.22502
SEN0214	SG0213	0.0000	0.0356	0.00100
SEN0215	SG0214	0.0012	0.0251	0.04887
SEN0217	SG0215	0.0000	0.0284	0.00100
SEN0219	SG0217	0.0000	0.0213	0.00100
SEN0220	SG0218	0.0011	0.0228	0.04928
SEN0221	SG0219	0.0000	0.0122	0.00100
SEN0223	SG0220	0.0000	0.0133	0.00100
SEN0224	SG0221	0.0019	0.0200	0.09377
SEN0225	SG0222	0.0000	0.0086	0.00100
SEN0226	SG0223	0.0000	0.0188	0.00100
SEN0227	SG0224	0.0023	0.0171	0.13198
SEN0228	SG0225	0.0000	0.0106	0.00100
SEN0229	SG0226	0.0000	0.0159	0.00100
SEN0230	SG0227	0.0011	0.0045	0.24994
SEN0231	SG0228	0.0327	0.1923	0.17010
SEN0232	SG0229	0.0000	0.0000	0.00100
SEN0233	SG0230	0.0014	0.0071	0.19276
SEN0234	SG0231	0.0000	0.0131	0.00100
SEN0235	SG0232	0.0000	0.0224	0.00100
SEN0236	SG0233	0.0000	0.0452	0.00100
SEN0237	SG0234	0.0023	0.0134	0.17135
SEN0238	SG0235	0.0020	0.0233	0.08716
SEN0239	SG0236	0.0000	0.0181	0.00100
SEN0241	SG0238	0.0066	0.0520	0.12745
SEN0242	SG0239	0.0000	0.0226	0.00100
SEN0243	SG0240	0.0098	0.0478	0.20398
SEN0245	SG0241	0.0000	0.0340	0.00100
SEN0247	SG0243	0.0000	0.0465	0.00100
SEN0248	SG0244	0.0072	0.0075	0.96795
SEN0249	SG0245	0.0107	0.0374	0.28489
SEN0250	SG0246	0.0000	0.0069	0.00100
SEN0251	SG0247	0.0000	0.0310	0.00100
SEN0252	SG0248	0.0000	0.0305	0.00100
SEN0253	SG0249	0.0001	0.0571	0.00100
SEN0254	SG0250	0.0000	0.0449	0.00100
SEN0255	SG0251	0.0043	0.0355	0.12229
SEN0256	SG0252	0.0052	0.0294	0.17793
SEN0257	SG0253	0.0056	0.0324	0.17323
SEN0258	SG0254	0.0128	0.0828	0.15426
SEN0260	SG0256	0.0037	0.0556	0.06644
SEN0261	SG0257	0.0118	0.0383	0.30899
SEN0262	SG0258	0.0011	0.0150	0.07174
SEN0263	SG0259	0.0038	0.0341	0.11025
SEN0264	SG0260	0.0020	0.0181	0.11292
SEN0265	SG0261	0.0000	0.0125	0.00100
SEN0266	SG0262	0.0001	0.0516	0.00100
SEN1013	SG1056	0.0017	0.0055	0.31804
SEN0291	SG0319	0.0020	0.0326	0.06133
SEN0292	SG0320	0.0006	0.0037	0.16947
SEN0293	SG0321	0.0000	0.0211	0.00100
SEN0294	SG0322	0.0000	0.0080	0.00100
SEN0295	SG0323	0.0000	0.0280	0.00100
SEN3342	SG3922	0.0000	0.0000	0.06331
SEN3343	SG3921	0.0000	0.0000	0.00100
SEN0296	SG0324	0.0042	0.0408	0.10365
SEN3476	SG3780	0.0000	0.0000	0.24897
SEN0299	SG0327	0.0000	0.0114	0.00100
SEN0300	SG0328	0.0000	0.0189	0.00100
SEN0301	SG0329	0.0023	0.0137	0.17004
SEN0303	SG1644	0.2656	3.1219	0.08506
SEN0304	SG0332	0.0000	0.0000	0.00100
SEN0305	SG0333	0.0000	0.0000	0.16470
SEN1356	SG0895	0.8614	5.6607	0.15216
SEN2339	SG2386	0.0000	0.0000	0.06235
SEN0410	SG0439	0.0015	0.0000	99.00000
SEN3356	SG3907	0.0000	0.0000	0.09425
SEN3355	SG3908	0.0000	0.0000	0.01136
SEN0153	SG3356	0.5833	63.9055	0.00913
SEN4216	SG4290	0.0000	0.0092	0.00100
SEN1301	SG1382	0.0000	0.0000	0.00100
SEN0450	SG0479	0.0000	0.0000	0.08321
SEN0542	SG0576	0.0000	0.0000	0.07906
SEN0541	SG0575	0.0000	0.0000	0.07809
SEN0540	SG0574	0.0012	0.0023	0.51287
SEN0539	SG0573	0.0018	0.0000	99.00000
SEN2201	SG2245	0.0000	0.0000	99.00000
SEN0966	SG0991	0.0009	0.0000	99.00000
SEN0805	SG0840	0.0038	0.0000	99.00000
SEN4217	SG4291	0.0000	0.0035	0.00100
SEN0348	SG0377	0.0000	0.0000	0.00100
SEN0349	SG0378	0.0000	0.0000	0.05157
SEN0350	SG0379	0.0000	0.0000	0.03973
SEN0351	SG0380	0.0000	0.0000	0.11276
SEN0352	SG0381	0.0000	0.0046	0.00100
SEN0353	SG0382	0.0010	0.0044	0.23254
SEN0354	SG0383	0.0000	0.0018	0.00100
SEN3166	SG3223	0.0000	0.0026	0.00100
SEN3167	SG3224	0.0000	0.0000	0.35305
SEN0708	SG0741	0.0000	0.0000	0.06533
SEN2327	SG2374	0.0016	0.0000	99.00000
SEN0969	SG0994	0.0000	0.0000	0.00100
SEN2172	SG2215	0.0024	0.0000	99.00000
SEN3975	SG4052	0.0022	0.0000	99.00000
SEN1425	SG1492	0.0014	0.0000	99.00000
SEN1424	SG1491	0.0000	0.0000	0.00100
SEN2237	SG3614	0.0043	0.0125	0.34202
SEN0355	SG0384	0.0000	0.0000	0.00100
SEN0357	SG0386	0.0043	0.0000	99.00000
SEN0358	SG0387	0.0000	0.0000	0.00100
SEN0359	SG0388	0.0000	0.0027	0.00100
SEN0360	SG0389	0.0037	0.0037	1.01026
SEN0361	SG0390	0.0000	0.0000	0.00100
SEN0362	SG0391	0.0000	0.0000	0.13706
SEN0363	SG0392	0.0000	0.0000	99.00000
SEN0366	SG0395	0.0000	0.0000	0.18688
SEN0367	SG0396	0.0000	0.0085	0.00100
SEN0368	SG0397	0.0027	0.0000	99.00000
SEN0369	SG0398	0.0000	0.0000	0.00100
SEN0371	SG0400	0.0000	0.0062	0.00100
SEN0372	SG0401	0.0000	0.0000	0.00100
SEN0373	SG0402	0.0025	0.0000	99.00000
SEN0374	SG0403	0.0000	0.0000	0.65101
SEN0375	SG0404	0.0000	0.0000	0.00100
SEN0376	SG0405	0.0000	0.0069	0.00100
SEN0377	SG0406	0.0000	0.0000	0.00100
SEN0378	SG0407	0.0005	0.0008	0.64017
SEN0379	SG0408	0.0000	0.0000	0.09801
SEN0380	SG0409	0.0018	0.0000	99.00000
SEN0381	SG0410	0.0012	0.0000	99.00000
SEN0382	SG0411	0.0000	0.0000	0.11562
SEN0383	SG0412	0.0000	0.0025	0.00100
SEN0384	SG0413	0.0000	0.0000	0.02917
SEN0386	SG0415	0.0000	0.0000	0.14685
SEN0387	SG0416	0.0014	0.0000	99.00000
SEN0388	SG0417	0.0000	0.0000	0.00100
SEN0389	SG0418	0.0000	0.0000	0.00100
SEN0390	SG0419	0.0000	0.0000	99.00000
SEN0391	SG0420	0.0000	0.0000	0.06244
SEN0394	SG0423	0.0000	0.0000	1.65945
SEN0395	SG0424	0.0000	0.0000	99.00000
SEN0396	SG0425	0.0000	0.0000	99.00000
SEN0397	SG0426	0.0000	0.0000	0.00100
SEN0398	SG0427	0.0000	0.0000	0.00100
SEN0399	SG0428	0.0000	0.0000	99.00000
SEN0400	SG0429	0.0000	0.0000	99.00000
SEN0401	SG0430	0.0016	0.0000	99.00000
SEN0402	SG0431	0.0000	0.0000	0.00100
SEN0403	SG0432	0.0000	0.0000	0.08076
SEN0404	SG0433	0.0000	0.0000	0.00100
SEN0405	SG0434	0.0000	0.0000	0.14676
SEN0406	SG0435	0.0000	0.0000	99.00000
SEN0407	SG0436	0.0011	0.0020	0.54815
SEN0415	SG0444	0.0000	0.0000	99.00000
SEN0416	SG0445	0.0014	0.0000	99.00000
SEN0417	SG0446	0.0000	0.0000	0.17855
SEN0418	SG0447	0.0000	0.0046	0.00100
SEN0421	SG0450	0.0000	0.0000	99.00000
SEN0422	SG0451	0.0037	0.0000	99.00000
SEN0423	SG0452	0.0000	0.0000	99.00000
SEN0424	SG0453	0.0000	0.0000	0.04815
SEN0425	SG0454	0.0000	0.0000	0.00100
SEN0426	SG0455	0.0000	0.0000	0.00100
SEN0427	SG0456	0.0000	0.0000	0.00100
SEN0428	SG0457	0.0000	0.0000	0.00100
SEN0429	SG0458	0.0000	0.0000	0.00100
SEN0430	SG0459	0.0020	0.0000	99.00000
SEN0431	SG0460	0.0010	0.0000	99.00000
SEN0432	SG0461	0.0000	0.0039	0.00100
SEN0433	SG0462	0.0000	0.0000	99.00000
SEN0434	SG0463	0.0007	0.0041	0.18297
SEN0435	SG0464	0.0000	0.0000	0.00100
SEN0437	SG0466	0.0022	0.0043	0.52177
SEN0438	SG0467	0.0011	0.0000	99.00000
SEN0439	SG0468	0.0000	0.0035	0.00100
SEN0441	SG0470	0.0000	0.0000	0.00100
SEN0443	SG0472	0.0016	0.0020	0.79670
SEN0444	SG0473	0.0000	0.0000	0.00100
SEN0445	SG0474	0.0000	0.0029	0.00100
SEN0446	SG0475	0.0000	0.0000	0.00535
SEN0447	SG0476	0.0000	0.0000	0.00100
SEN0448	SG0477	0.0000	0.0000	0.00100
SEN0449	SG0478	0.0010	0.0037	0.27173
SEN0452	SG0481	0.0000	0.0000	0.15411
SEN0453	SG0482	0.0000	0.0000	0.00100
SEN0454	SG0483	0.0000	0.0000	0.00100
SEN0455	SG0484	0.0000	0.0000	0.00100
SEN0456	SG0485	0.0004	0.0012	0.34673
SEN0457	SG0486	0.0000	0.0024	0.00100
SEN0458	SG0487	0.0000	0.0000	0.00100
SEN0459	SG0488	0.0000	0.0025	0.00100
SEN0461	SG0490	0.0000	0.0000	0.00100
SEN0462	SG0491	0.0033	0.0000	99.00000
SEN0463	SG0492	0.0045	0.0069	0.64576
SEN0464	SG0493	0.0056	0.0001	99.00000
SEN0465	SG0494	0.0008	0.0000	99.00000
SEN0466	SG0495	0.0000	0.0000	0.11278
SEN0467	SG0496	0.0000	0.0000	0.03594
SEN0468	SG0497	0.0000	0.0000	0.00100
SEN0469	SG0498	0.0000	0.0000	0.00100
SEN0470	SG0500	0.0000	0.0000	0.08760
SEN0472	SG0502	0.0000	0.0000	0.00100
SEN0473	SG0503	0.0009	0.0000	99.00000
SEN0474	SG0504	0.0013	0.0025	0.50138
SEN0475	SG0505	0.0008	0.0026	0.30800
SEN0476	SG0506	0.0000	0.0000	99.00000
SEN0477	SG0507	0.0000	0.0000	0.10815
SEN0479	SG0509	0.0023	0.0014	1.69806
SEN0480	SG0510	0.0000	0.0000	99.00000
SEN0481	SG0511	0.0000	0.0000	0.00100
SEN0482	SG0512	0.0000	0.0000	0.01878
SEN0483	SG0513	0.0000	0.0076	0.00100
SEN0484	SG0514	0.0000	0.0000	0.14142
SEN0486	SG0516	0.0000	0.0120	0.00100
SEN0487	SG0517	0.0000	0.0000	0.01607
SEN0488	SG0518	0.0023	0.0000	99.00000
SEN0494	SG0524	0.0015	0.0000	99.00000
SEN0495	SG2929	0.9476	61.1074	0.01551
SEN0496	SG0527	0.0056	0.0001	99.00000
SEN0497	SG0528	0.0000	0.0000	0.38817
SEN0498	SG0529	0.0009	0.0016	0.52696
SEN0499	SG0530	0.0016	0.0000	99.00000
SEN0500	SG0531	0.0018	0.0000	99.00000
SEN0503	SG0534	0.0012	0.0022	0.55316
SEN0504	SG0535	0.0020	0.0060	0.32934
SEN0505	SG0536	0.0000	0.0000	0.00100
SEN0506	SG0537	0.0037	0.0000	99.00000
SEN0507	SG0538	0.0000	0.0000	0.00100
SEN0508	SG0539	0.0022	0.0000	99.00000
SEN0509	SG0540	0.0015	0.0000	99.00000
SEN0512	SG0543	0.0000	0.0103	0.00100
SEN0513	SG0544	0.0000	0.0000	0.00100
SEN0514	SG0545	0.0000	0.0000	0.11580
SEN0515	SG0546	0.0000	0.0062	0.00100
SEN0516	SG0547	0.0000	0.0041	0.00100
SEN0517	SG0548	0.0000	0.0000	0.00100
SEN0518	SG0549	0.0000	0.0000	0.00100
SEN0521	SG0552	0.0000	0.0000	0.06261
SEN0522	SG0553	0.0000	0.0220	0.00100
SEN0523	SG0554	0.0018	0.0000	99.00000
SEN0526	SG0557	0.0000	0.0000	0.00100
SEN0527	SG0558	0.0011	0.0000	99.00000
SEN0528	SG0559	0.0030	0.0000	99.00000
SEN0529	SG0560	0.0000	0.0000	0.11305
SEN0530	SG0561	0.0000	0.0000	0.00100
SEN1399	SG1465	0.0000	0.0000	0.00100
SEN0946	SG0971	0.0028	0.0000	99.00000
SEN0947	SG0972	0.0019	0.0000	99.00000
SEN1146	SG1209	0.0000	0.0000	0.40021
SEN2381	SG2431	0.0017	0.0000	99.00000
SEN2629	SG2690	0.0000	0.0000	0.11988
SEN0333	SG0361	0.0000	0.0000	0.00100
SEN0544	SG0578	0.0011	0.0022	0.51069
SEN0545	SG0579	0.0000	0.0038	0.00100
SEN0548	SG0582	0.0043	0.0000	99.00000
SEN0549	SG0583	0.0000	0.0000	0.11147
SEN0551A	SG0586	0.0000	0.0000	0.09497
SEN0552	SG0587	0.0014	0.0000	99.00000
SEN0553	SG0588	0.0050	0.0001	99.00000
SEN0554	SG0589	0.0024	0.0000	99.00000
SEN0555	SG0590	0.0000	0.0026	0.00100
SEN0557	SG0592	0.0007	0.0011	0.62374
SEN0558	SG0593	0.0000	0.0025	0.00100
SEN0559	SG0594	0.0000	0.0000	0.00100
SEN0560	SG0595	0.0000	0.0000	0.09529
SEN0561	SG0596	0.0014	0.0034	0.42933
SEN0562	SG0597	0.0012	0.0000	99.00000
SEN0563	SG0598	0.0000	0.0000	0.14861
SEN0564	SG0599	0.0000	0.0000	0.00100
SEN0566	SG0601	0.0000	0.0000	0.00100
SEN0567	SG0602	0.0000	0.0000	0.06867
SEN0568	SG0603	0.0000	0.0000	0.52169
SEN0569	SG0604	0.0007	0.0000	99.00000
SEN0571	SG0606	0.0000	0.0000	0.14461
SEN0572	SG0607	0.0013	0.0000	99.00000
SEN0573	SG0608	0.0026	0.0000	99.00000
SEN0574	SG0609	0.0034	0.0064	0.53444
SEN0575	SG0610	0.0015	0.0048	0.30907
SEN0576	SG0611	0.0021	0.0000	99.00000
SEN0577	SG0612	0.0000	0.0000	0.04064
SEN0578	SG0613	0.0010	0.0039	0.24960
SEN0583	SG0618	0.0000	0.0000	0.00100
SEN0584	SG0619	0.0013	0.0023	0.55847
SEN0585	SG0620	0.0000	0.0000	0.00100
SEN0586	SG0621	0.0038	0.0000	99.00000
SEN0587	SG0622	0.0000	0.0000	0.56064
SEN0589	SG0624	0.0000	0.0000	0.27505
SEN0590	SG0625	0.0000	0.0000	0.12714
SEN0591	SG0626	0.0000	0.0035	0.00100
SEN0592	SG0627	0.0000	0.0000	0.06458
SEN0593	SG0628	0.0000	0.0000	0.05047
SEN0594	SG0629	0.0017	0.0021	0.80078
SEN0595	SG0630	0.0000	0.0000	0.00100
SEN0596	SG0631	0.0000	0.0028	0.00100
SEN0597	SG0632	0.0000	0.0000	0.02378
SEN0598	SG0633	0.0000	0.0000	0.03112
SEN0599	SG0634	0.0000	0.0000	0.00100
SEN0601	SG0636	0.0000	0.0000	0.00100
SEN0602	SG0637	0.0000	0.0062	0.00100
SEN0603	SG0638	0.0029	0.0000	99.00000
SEN0604	SG0639	0.0025	0.0000	99.00000
SEN0605	SG0640	0.0000	0.0000	5.04242
SEN0606	SG0641	0.0000	0.0000	0.03706
SEN0607	SG0642	0.0000	0.0000	0.00100
SEN0608	SG0643	0.0000	0.0000	0.00100
SEN0609	SG0644	0.0000	0.0028	0.00100
SEN0610	SG0645	0.0000	0.0000	0.00100
SEN0611	SG0646	0.0000	0.0000	0.00100
SEN0612	SG0647	0.0000	0.0000	0.00124
SEN0614	SG0649	0.0000	0.0000	0.00100
SEN0615	SG0650	0.0032	0.0000	99.00000
SEN0616	SG0651	0.0000	0.0058	0.00100
SEN0617	SG0652	0.0016	0.0000	99.00000
SEN0622	SG0657	0.0000	0.0000	0.00100
SEN0624	SG0659	0.0000	0.0000	0.13542
SEN0625	SG0660	0.0000	0.0000	0.00100
SEN0626	SG0661	0.0000	0.0000	0.00100
SEN0627	SG0662	0.0000	0.0038	0.00100
SEN0628	SG0663	0.0028	0.0000	99.00000
SEN0630	SG0665	0.0014	0.0000	99.00000
SEN0631	SG0666	0.0017	0.0000	99.00000
SEN0632	SG0667	0.0022	0.0000	99.00000
SEN0633	SG0668	0.0020	0.0000	99.00000
SEN0635	SG0670	0.0000	0.0000	0.08459
SEN0636	SG0671	0.0000	0.0000	0.01479
SEN0637	SG0672	0.0000	0.0000	0.00100
SEN0638	SG0673	0.0000	0.0000	0.06798
SEN0639	SG0674	0.0000	0.0021	0.00100
SEN0640	SG0675	0.0024	0.0092	0.25889
SEN0644	SG0677	0.0025	0.0000	99.00000
SEN0645	SG0678	0.0000	0.0043	0.00100
SEN0646	SG0679	0.0000	0.0000	0.00100
SEN0647	SG0680	0.0012	0.0033	0.35939
SEN0648	SG0681	0.0000	0.0000	0.01877
SEN0649	SG0682	0.0008	0.0000	99.00000
SEN0650	SG0683	0.0000	0.0062	0.00100
SEN0651	SG0684	0.0000	0.0021	0.00100
SEN0652	SG0685	0.0000	0.0000	0.00100
SEN0657	SG0690	0.0000	0.0000	0.02055
SEN0658	SG0691	0.0000	0.0000	0.01876
SEN0659	SG0692	0.0000	0.0000	0.08273
SEN0660	SG0693	0.0000	0.0037	0.00100
SEN0661	SG0694	0.0000	0.0000	0.00100
SEN0662	SG0695	0.0019	0.0000	99.00000
SEN0664	SG0697	0.0022	0.0026	0.83848
SEN0665	SG0698	0.0000	0.0013	0.00100
SEN0666	SG0699	0.0000	0.0000	0.00100
SEN0667	SG0700	0.0005	0.0043	0.12054
SEN0668	SG0701	0.0000	0.0000	0.00100
SEN0669	SG0702	0.0021	0.0052	0.39706
SEN0670	SG0703	0.0000	0.0000	0.00100
SEN0671	SG0704	0.0000	0.0000	0.00100
SEN0672	SG0705	0.0018	0.0032	0.58055
SEN0673	SG0706	0.0010	0.0000	99.00000
SEN0674	SG0707	0.0000	0.0000	0.03984
SEN0675	SG0708	0.0000	0.0000	0.00100
SEN0676	SG0709	0.0000	0.0000	0.00100
SEN0677	SG0710	0.0000	0.0000	0.14406
SEN0678	SG0711	0.0000	0.0000	0.08621
SEN0679	SG0712	0.0014	0.0000	99.00000
SEN2796	SG2861	0.0000	0.0044	0.00100
SEN2872	SG0200	0.6222	73.2088	0.00850
SEN2873	SG2859	0.9963	59.4166	0.01677
SEN0680	SG0713	0.0000	0.0024	0.00100
SEN0682	SG0715	0.0000	0.0000	0.00100
SEN0683	SG0716	0.0093	0.0001	99.00000
SEN0684	SG0717	0.0000	0.0018	0.00100
SEN0685	SG0718	0.0000	0.0042	0.00100
SEN0686	SG0719	0.0006	0.0000	99.00000
SEN0687	SG0720	0.0023	0.0000	99.00000
SEN0688	SG0721	0.0000	0.0000	0.00100
SEN0689	SG0722	0.0016	0.0045	0.34764
SEN3858	SG3352	0.0000	0.0000	0.09786
SEN0690	SG0723	0.0000	0.0000	0.16544
SEN0691	SG0724	0.0000	0.0029	0.00100
SEN0693	SG0726	0.0000	0.0000	0.00100
SEN0694	SG0727	0.0037	0.0000	99.00000
SEN0695	SG0728	0.0000	0.0000	0.00100
SEN0696	SG0729	0.0000	0.0000	0.09987
SEN0697	SG0730	0.0015	0.0022	0.66764
SEN0698	SG0731	0.0000	0.0000	0.07278
SEN0699	SG0732	0.0000	0.0000	0.06149
SEN0700	SG0733	0.0000	0.0000	0.00100
SEN0701	SG0734	0.0027	0.0000	99.00000
SEN0702	SG0735	0.0022	0.0000	99.00000
SEN0703	SG0736	0.0017	0.0000	99.00000
SEN0704	SG0737	0.0000	0.0000	0.03042
SEN0705	SG0738	0.0012	0.0000	99.00000
SEN0717	SG0750	0.0000	0.0035	0.00100
SEN0718	SG0751	0.0015	0.0000	99.00000
SEN0719	SG0752	0.0013	0.0000	99.00000
SEN0720	SG0753	0.0000	0.0030	0.00100
SEN0721	SG0754	0.0000	0.0030	0.00100
SEN0723	SG0756	0.0000	0.0000	99.00000
SEN0724	SG0757	0.0000	0.0000	0.04628
SEN0726	SG0759	0.0000	0.0037	0.00100
SEN0727	SG0760	0.0000	0.0000	0.07409
SEN0728	SG0761	0.0000	0.0000	0.10950
SEN0729	SG0762	0.0000	0.0000	0.17431
SEN0730	SG0763	0.0028	0.0000	99.00000
SEN3651	SG3597	0.0035	0.0000	99.00000
SEN3009	SG3063	0.0010	0.0000	99.00000
SEN0731	SG0764	0.0011	0.0000	99.00000
SEN0737	SG0770	0.0000	0.0000	0.15616
SEN0738	SG0771	0.0000	0.0000	0.00100
SEN0739	SG0772	0.0012	0.0000	99.00000
SEN0740	SG0773	0.0000	0.0000	0.11130
SEN0741	SG0774	0.0018	0.0054	0.33326
SEN0742	SG0775	0.0000	0.0044	0.00100
SEN0744	SG0776	0.0000	0.0000	0.00100
SEN0747	SG0780	0.0017	0.0000	99.00000
